Assessment Name,Assessment URL,Remote Testing Support,Adaptive/IRT Support,Test Type,Test Type Keys,Description,Time (Minutes),Job Levels,Languages
Aerospace Engineering (New),https://www.shl.com/products/product-catalog/view/aerospace-engineering-new/,Yes,No,Knowledge & Skills,['K'],"Multi-choice test that measures the conceptual knowledge of aerodynamics, aircraft systems and instrumentation, flight dynamics, space dynamics and avionics.",10,"Graduate, Mid-Professional, Professional Individual Contributor,","English (USA),"
Agile Software Development,https://www.shl.com/products/product-catalog/view/agile-software-development/,Yes,No,Knowledge & Skills,['K'],"Multi-choice test that measures the knowledge of agile methodology, scrum, feature driven software development, incremental and iterative development and processes involved in agile software development.",7,"Graduate,","English (USA),"
Agile Testing (New),https://www.shl.com/products/product-catalog/view/agile-testing-new/,Yes,No,Knowledge & Skills,['K'],"Multi-choice test that measures the knowledge of tools, techniques and processes involved in the Agile testing methodology.",13,"Mid-Professional, Professional Individual Contributor,","English (USA),"
AI Skills,https://www.shl.com/products/product-catalog/view/ai-skills/,Yes,No,Personality & Behavior,['P'],The AI Skills assessment measures the skills that help candidates successfully leverage AI in their work.,16,"General Population,","English (USA),"
Amazon Web Services (AWS) Development (New),https://www.shl.com/products/product-catalog/view/amazon-web-services-aws-development-new/,Yes,No,Knowledge & Skills,['K'],"Multi-choice test that measures the knowledge of AWS delivery process, monitoring, metrics, logging, security, validation and scalability.",6,"Mid-Professional, Professional Individual Contributor,","English (USA),"
Android Development (New),https://www.shl.com/products/product-catalog/view/android-development-new/,Yes,No,Knowledge & Skills,['K'],"Multi-choice test that measures the knowledge of UI components for an Android device, services and alerts, animation and media apps, application components, security and testing.",7,"Mid-Professional, Professional Individual Contributor,","English (USA),"
Angular 6 (New),https://www.shl.com/products/product-catalog/view/angular-6-new/,Yes,No,Knowledge & Skills,['K'],"Multi-choice test that measures the knowledge of the basic components and modules of Angular 6 and concepts like data binding, dependency injection, CRUD with HTTP, typescript, routing and navigation.",11,"Mid-Professional, Professional Individual Contributor,","English (USA),"
AngularJS (New),https://www.shl.com/products/product-catalog/view/angularjs-new/,Yes,No,Knowledge & Skills,['K'],"Multi-choice test that measures the knowledge of AngularJS architecture, forms, directives, filters, controllers, routing and testing.",9,"Mid-Professional, Professional Individual Contributor,","English (USA),"
Apache Hadoop (New),https://www.shl.com/products/product-catalog/view/apache-hadoop-new/,Yes,No,Knowledge & Skills,['K'],"Multi-choice test that measures the knowledge of basic concepts of Hadoop, commands, HDFS and MapReduce.",7,"Mid-Professional, Professional Individual Contributor,","English (USA),"
Apache Hadoop Extensions (New),https://www.shl.com/products/product-catalog/view/apache-hadoop-extensions-new/,Yes,No,Knowledge & Skills,['K'],"Multi-choice test that measures the conceptual knowledge of Pig, Hive and HBase.",9,"Mid-Professional, Professional Individual Contributor,","English (USA),"
Apache HBase (New),https://www.shl.com/products/product-catalog/view/apache-hbase-new/,Yes,No,Knowledge & Skills,['K'],"Multi-choice test that measures the knowledge of HBase concepts such as CAP theorem, ACID properties, HBase client API, MapReduce integration, configuration and administration.",5,"Mid-Professional, Professional Individual Contributor,","English (USA),"
Apache Hive (New),https://www.shl.com/products/product-catalog/view/apache-hive-new/,Yes,No,Knowledge & Skills,['K'],"Multi-choice test that measures the knowledge of Hive architecture, datatypes, built-in functions, configurations, partitioning, bucketing and commands of Hive query language.",5,"Mid-Professional, Professional Individual Contributor,","English (USA),"
Apache Kafka (New),https://www.shl.com/products/product-catalog/view/apache-kafka-new/,Yes,No,Knowledge & Skills,['K'],"Multi-choice test that measures the knowledge of Apache Kafka architecture, components, clusters, performance tuning and advanced operations.",6,"Mid-Professional, Professional Individual Contributor,","English (USA),"
Apache Pig (New),https://www.shl.com/products/product-catalog/view/apache-pig-new/,Yes,No,Knowledge & Skills,['K'],"Multi-choice test that measures the knowledge of Pig architecture, built-in operators, built-in functions and commands in PigLatin.",6,"Mid-Professional, Professional Individual Contributor,","English (USA),"
Apache Spark (New),https://www.shl.com/products/product-catalog/view/apache-spark-new/,Yes,No,Knowledge & Skills,['K'],"Multi-choice test that measures the knowledge of Apache Spark principles, RDD operations - actions and transformations, lineage graphs and lazy evaluation.",8,"Mid-Professional, Professional Individual Contributor,","English (USA),"
ASP .NET with C# (New),https://www.shl.com/products/product-catalog/view/asp-net-with-c-new/,Yes,No,Knowledge & Skills,['K'],"Multi-choice test that measures the knowledge of .NET framework and controls, C# fundamentals, OOPs concepts and advanced topics such as data access components, state management and security services.",13,"Mid-Professional, Professional Individual Contributor,","English (USA),"
ASP.NET 4.5,https://www.shl.com/products/product-catalog/view/asp-net-4-5/,Yes,Yes,Knowledge & Skills,['K'],"The ASP.NET 4.5 test measures knowledge of programming in the ASP.NET environment. Designed for experienced developers, but an average performer in this role should pass this test. This test includes the following topics: .NET Framework, Client-Side Programming, Data Access, Enhanced Runtime Features, Portals, Services and Mobile, Security, Troubleshooting and Optimization, Web Applications, and Web Forms.",30,"Mid-Professional, Professional Individual Contributor,","English (USA),"
Assessment and Development Center Exercises,https://www.shl.com/products/product-catalog/view/assessment-and-development-center-exercises/,Yes,No,E,['E'],"SHL offers a comprehensive range of Assessment and Development Centre exercise in digital format, for remote assessment through our Virtual Assessment and Development Centre platform.We offer a wide range of exercise types including group exercise, role plays, analysis presentations and written exercises.Exercises are available across a wide range of job levels and industry contexts.Contact SHL to find out more.",,"Director, Entry-Level, Executive, Front Line Manager, General Population, Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor,","English International, English (USA),"
Automata - Fix (New),https://www.shl.com/products/product-catalog/view/automata-fix-new/,Yes,No,Simulations,['S'],"A simulated compiler integrated test to measure debugging skills in C, C++ and Java. The test checks the ability to fix logical or syntactical errors and to reuse an existing code.Your use of this assessment product may be subject to New York City Law 144 (Regulation of the Use of Automated Employment Decision Tools) (dated July 5, 2023). Compliance with Law 144 is your responsibility.
Read more on https://www.shl.com/legal/shl-us-regulatory-compliance/",20,"Mid-Professional,","English (USA),"
Automata - SQL (New),https://www.shl.com/products/product-catalog/view/automata-sql-new/,Yes,No,Simulations,['S'],"A simulated query writing test that measures the ability to write SQL queries to perform DDL, DML and DCL tasks.",30,"Mid-Professional, Professional Individual Contributor,","English (USA),"
Automata (New),https://www.shl.com/products/product-catalog/view/automata-new/,Yes,No,Simulations,['S'],"An AI-powered coding simulation assessment that evaluates candidate’s programming ability. Offers a familiar IDE environment available in over 40 different programming languages and tests candidates using real-world coding problems.Your use of this assessment product may be subject to New York City Law 144 (Regulation of the Use of Automated Employment Decision Tools) (dated July 5, 2023). Compliance with Law 144 is your responsibility.
Read more on https://www.shl.com/legal/shl-us-regulatory-c",45,"Mid-Professional, Professional Individual Contributor,","English (USA),"
Automata Data Science (New),https://www.shl.com/products/product-catalog/view/automata-data-science-new/,Yes,No,Simulations,['S'],A simulated test that measures the ability to analyze and modify data using machine learning algorithms to obtain desirable results.,60,"Mid-Professional, Professional Individual Contributor,","English (USA),"
Automata Data Science Pro (New),https://www.shl.com/products/product-catalog/view/automata-data-science-pro-new/,Yes,No,Simulations,['S'],A simulated test that measures the ability to analyze and modify data using machine learning algorithms to obtain desirable results.,60,"Professional Individual Contributor, Mid-Professional,","English (USA),"
Automata Front End,https://www.shl.com/products/product-catalog/view/automata-front-end/,Yes,No,Simulations,['S'],"Simulation based test that measures the front-end development capabilities using HTML, CSS, and
JavaScript. The candidate is provided with 3 different sections to code in HTML, CSS and JavaScript respectively and a separate output section to view the output. This simulation is then manually scored.",30,"Entry-Level, Graduate, Mid-Professional, Professional Individual Contributor, Manager,","English (USA),"
Automata Pro (New),https://www.shl.com/products/product-catalog/view/automata-pro-new/,Yes,No,Simulations,['S'],"An AI-powered coding simulation assessment that evaluates candidate’s programming ability. Offers a familiar IDE environment available in over 40 different programming languages and tests candidates using real-world coding problems.Your use of this assessment product may be subject to New York City Law 144 (Regulation of the Use of Automated Employment Decision Tools) (dated July 5, 2023). Compliance with Law 144 is your responsibility.
Read more on https://www.shl.com/legal/shl-us-regulatory-c",60,"Mid-Professional, Professional Individual Contributor,","English (USA),"
Automata Selenium,https://www.shl.com/products/product-catalog/view/automata-selenium/,Yes,No,Simulations,['S'],A coding simulation assessment that evaluates the ability to conduct tasks related to automation testing using Selenium scripts.,60,"Entry-Level, Graduate, Manager, Mid-Professional, Professional Individual Contributor,","English (USA),"
Automation Anywhere RPA Development (New),https://www.shl.com/products/product-catalog/view/automation-anywhere-rpa-development-new/,Yes,No,Knowledge & Skills,['K'],"Multi-choice test that measures the knowledge of Automation Anywhere dash board and task editor, control room, key commands, bots and Automation Anywhere client.",8,"Mid-Professional, Professional Individual Contributor,","English (USA),"
Automotive Engineering (New),https://www.shl.com/products/product-catalog/view/automotive-engineering-new/,Yes,No,Knowledge & Skills,['K'],"Multi-choice test that measures the knowledge of auto engine classification, engine fuel system, auto-vehicle technology, maintenance, inspection and troubleshooting.",13,"Graduate, Mid-Professional, Professional Individual Contributor,","English (USA),"
Basic Biology (New),https://www.shl.com/products/product-catalog/view/basic-biology-new/,Yes,No,Knowledge & Skills,['K'],Multi choice test that measures the candidate's basic understanding of Biology.,6,"Professional Individual Contributor, Graduate, Mid-Professional,","English (USA),"
Basic Computer Literacy (Windows 10) (New),https://www.shl.com/products/product-catalog/view/basic-computer-literacy-windows-10-new/,Yes,No,"Simulations, Knowledge & Skills","['S', 'K']","The Basic Computer Literacy (Windows 10) simulation measures knowledge of general computer terminology, processes, and applications and the ability to perform certain operations in a simulated environment resembling the actual application. This simulation consists of both multiple choice and simulation-based questions, and includes the following topics: Application Software, Computer Terms, Internet and Email, Managing Files, Operating System, and Parts of the Computer.",30,"Entry-Level,","English (USA),"
Basic Statistics (New),https://www.shl.com/products/product-catalog/view/basic-statistics-new/,Yes,No,Knowledge & Skills,['K'],"Multi-choice test that measures the knowledge of statistical methods, exploratory analysis, basics of probability, standard distributions and statistical testing.",10,"Graduate, Mid-Professional, Professional Individual Contributor,","English (USA),"
Biochemistry (New),https://www.shl.com/products/product-catalog/view/biochemistry-new/,Yes,No,Knowledge & Skills,['K'],"Multi-choice test that measures the knowledge of various bio-molecules like amino acids, proteins, enzymes, carbohydrates, vitamins and nucleic acids, and concepts of bioenergetics and metabolism.",8,"Graduate, Mid-Professional, Professional Individual Contributor,","English (USA),"
Biotech Lab Techniques (New),https://www.shl.com/products/product-catalog/view/biotech-lab-techniques-new/,Yes,No,Knowledge & Skills,['K'],"Multi-choice test that measures the knowledge of biophysical techniques, bio-processing and separation techniques like chromatography and electrophoresis.",5,"Graduate, Professional Individual Contributor, Mid-Professional,","English (USA),"
BizTalk (New),https://www.shl.com/products/product-catalog/view/biztalk-new/,Yes,No,Knowledge & Skills,['K'],"Multi-choice test that measures the knowledge of BizTalk architecture, pipelines, adapters, business process techniques and BizTalk administration.",16,"Mid-Professional, Professional Individual Contributor,","English (USA),"
Business Communication (adaptive),https://www.shl.com/products/product-catalog/view/business-communication-adaptive/,Yes,Yes,Knowledge & Skills,['K'],"This is an adaptive test that measures knowledge of communicating in the workplace. It measures the skills necessary to communicate effectively with coworkers at all levels and with external business contacts. Designed for the average business worker, this test includes the following topics: Electronic Communication, Employment Communication, Listening, Meetings, Nonverbal Communication, Verbal Communication, and Written Communication.",24,"Entry-Level, Front Line Manager, Manager, Mid-Professional, Professional Individual Contributor,","English (USA),"
Business Communications,https://www.shl.com/products/product-catalog/view/business-communications/,Yes,No,Knowledge & Skills,['K'],"This test measures the candidate's knowledge of communicating in the workplace.  It measures the skills necessary to communicate effectively with coworkers at all levels and with external business contacts. Designed for the average business worker, this test includes the following topics: Electronic Communication, Employment Communication, Listening, Meetings, Nonverbal Communication, Verbal Communication, and Written Communication. This version of the test is not adaptive.",35,,"English (USA),"
C Programming (New),https://www.shl.com/products/product-catalog/view/c-programming-new/,Yes,No,Knowledge & Skills,['K'],"Multi-choice test that measures the knowledge of C programming basics, functions, arrays, composed data types, and advanced C concepts like SLF, file handling and dynamic memory.",10,"Mid-Professional, Professional Individual Contributor,","English (USA),"
C# Programming (New),https://www.shl.com/products/product-catalog/view/c-programming-new-4039/,Yes,No,Knowledge & Skills,['K'],"Multi-choice test that measures the knowledge of C# programming structure, functions, collections, enumeration, exception handling, OOPs constructs, inheritance, event handling and operator overloading.",9,"Mid-Professional, Professional Individual Contributor,","English (USA),"
C++ Programming (New),https://www.shl.com/products/product-catalog/view/c-programming-new-4122/,Yes,No,Knowledge & Skills,['K'],Multi-choice test that measures the knowledge of programming in the C++ language and the ability to use the C++ standard library to write code.,10,"Mid-Professional, Professional Individual Contributor,","English (USA),"
Cardiology and Diabetes Management (New),https://www.shl.com/products/product-catalog/view/cardiology-and-diabetes-management-new/,Yes,No,Knowledge & Skills,['K'],"Multi-choice test that measures the knowledge of how to control and manage cardiovascular diseases and diabetes, and understanding of the diagnostic tests used for them.",4,"Graduate, Mid-Professional, Professional Individual Contributor,","English (USA),"
Ceramic Engineering (New),https://www.shl.com/products/product-catalog/view/ceramic-engineering-new/,Yes,No,Knowledge & Skills,['K'],"Multi-choice test that measures the knowledge of classification of ceramic materials, production of ceramics and thermodynamics.",12,"Graduate, Mid-Professional, Professional Individual Contributor,","English (USA),"
Chemical Engineering (New),https://www.shl.com/products/product-catalog/view/chemical-engineering-new/,Yes,No,Knowledge & Skills,['K'],"Multi-choice test that measures the conceptual knowledge of transport phenomena, chemical process engineering and technology, chemical process principles, stoichiometry and process calculations.",13,"Graduate, Mid-Professional, Professional Individual Contributor,","English (USA),"
Cisco AppDynamics (New),https://www.shl.com/products/product-catalog/view/cisco-appdynamics-new/,Yes,No,Knowledge & Skills,['K'],"Multi-choice test that measures the knowledge of application analytics, performance management, and AppDynamics essentials like controller UI, custom dashboard, reports and monitoring.",9,"Mid-Professional, Professional Individual Contributor,","English (USA),"
Civil Engineering (New),https://www.shl.com/products/product-catalog/view/civil-engineering-new/,Yes,No,Knowledge & Skills,['K'],"Multi-choice test that measures the knowledge of structural engineering, transportation engineering, surveying, geotechnical engineering and water resources engineering.",10,"Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor,","English (USA),"
Cloud Computing (New),https://www.shl.com/products/product-catalog/view/cloud-computing-new/,Yes,No,Knowledge & Skills,['K'],"Multi-choice test that measures the knowledge of cloud computing concepts, cloud service models, virtualization and private clouds.",8,"Mid-Professional, Professional Individual Contributor,","English (USA),"
COBOL Programming (New),https://www.shl.com/products/product-catalog/view/cobol-programming-new/,Yes,No,Knowledge & Skills,['K'],"Multi-choice test that measures the knowledge of COBOL programming fundamentals, programming structure and different types of application processing.",10,"Mid-Professional, Professional Individual Contributor,","English (USA),"
Computer Science (New),https://www.shl.com/products/product-catalog/view/computer-science-new/,Yes,No,Knowledge & Skills,['K'],"Multi-choice test that measures the knowledge of operating system, computer architecture, DBMS and basics of computer networks and communication.",12,"Mid-Professional, Professional Individual Contributor,","English (USA),"
Contact Center Call Simulation (New),https://www.shl.com/products/product-catalog/view/contact-center-call-simulation-new/,Yes,No,Simulations,['S'],Simulation based test that measures the ability to handle customer concerns over a call by referring to standard process documents. It also measures typing and documentation skills.,15,"Entry-Level,","English (USA),"
Conversational Multichat Simulation,https://www.shl.com/products/product-catalog/view/conversational-multichat-simulation/,Yes,No,Simulations,['S'],"This is a simulation-based test that measures the ability to handle customer concerns over multiple chats by referring to standard process documents. It provides an open-ended chat environment that assesses the candidate’s skills in a real job setting. Candidates are scored based on whether they resolved the customer’s query, the amount of time taken, and the correct use of vocabulary and grammar in their response.",11,,"English (USA),"
Core Java (Advanced Level) (New),https://www.shl.com/products/product-catalog/view/core-java-advanced-level-new/,Yes,No,Knowledge & Skills,['K'],"Multi-choice test that measures the knowledge of basic Java constructs, OOP concepts, files and exception handling, and advanced Java concepts like generics, collections, threads, strings and concurrency.",13,"Mid-Professional, Professional Individual Contributor,","English (USA),"
Core Java (Entry Level) (New),https://www.shl.com/products/product-catalog/view/core-java-entry-level-new/,Yes,No,Knowledge & Skills,['K'],"Multi-choice test that measures the knowledge of basic Java constructs, OOP concepts, file handling, exception handling, threads, generic class and inner class.",13,"Mid-Professional, Professional Individual Contributor,","English (USA),"
Count Out The Money,https://www.shl.com/products/product-catalog/view/count-out-the-money/,Yes,Yes,"Knowledge & Skills, Simulations","['K', 'S']",The Count out the Money –US test measures a candidate’s money handling ability. This test is designed for entry-level positions where handling money is required on a regular basis.,5,"Entry-Level,","English (USA), English (Australia), English (Canada), English International, English (South Africa),"
CSS3 (New),https://www.shl.com/products/product-catalog/view/css3-new/,Yes,No,Knowledge & Skills,['K'],Multi-choice test that measures the knowledge of CSS3 and its application in providing style to web documents.,8,"Mid-Professional, Professional Individual Contributor,","English (USA),"
Culinary Skills (New),https://www.shl.com/products/product-catalog/view/culinary-skills-new/,Yes,No,Knowledge & Skills,['K'],"Multi-choice test that measures the knowledge of cooking principles, cooking equipment, meal preparation and presentation, and kitchen safety.",7,"Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor,","English (USA),"
Customer Service Phone Simulation,https://www.shl.com/products/product-catalog/view/customer-service-phone-simulation/,Yes,No,"Behavior, Simulations","['B', 'S']","As part of Contact Center Simulations, the Customer Service Phone Simulation is designed for entry-level positions in a contact center environment. Sample tasks for these jobs include: verify the customer or account; take ownership of customer issues; interact with customers to provide information; respond positively to difficult, irate, or confused customers; listen attentively to callers; resolve calls in a timely manner; navigate within multiple information menus to view customer account deta",20,"Entry-Level,","French (Canada), Portuguese (Brazil), Dutch, Italian, Spanish, French, Latin American Spanish, Chinese Simplified, English (Australia), English International, English (USA),"
Customer Service Phone Solution,https://www.shl.com/products/product-catalog/view/customer-service-phone-solution/,Yes,No,"Behavior, Personality & Behavior, Simulations","['B', 'P', 'S']","As part of Contact Center Simulations, the Customer Service Phone Solution includes a contact center simulation and two behavioral tests designed to measure a wide range of skills, competencies, and behavioral tendencies relevant for contact center jobs. The Contact Center Simulation provides an opportunity for candidates to interact with simulated customers in a contact center environment. Designed to measure a candidate’s ability to listen attentively to the customer, take ownership of custome",30,"Entry-Level,","French (Canada), Italian, French, Dutch, Spanish, Portuguese (Brazil), Chinese Simplified, English (Australia), Latin American Spanish, English (USA), English International,"
Cyber Risk (New),https://www.shl.com/products/product-catalog/view/cyber-risk-new/,Yes,No,Knowledge & Skills,['K'],"Multi-choice test that measures the knowledge of cyber risk management, system and application security, network security and security management.",9,"Manager, Mid-Professional, Professional Individual Contributor, Supervisor,","English (USA),"
Data Entry (New),https://www.shl.com/products/product-catalog/view/data-entry-new/,Yes,No,Simulations,['S'],Simulated data entry test that measures the ability to accurately transcribe data from pre-filled forms and the ability to verify pre-filled data.,4,"Entry-Level,","English (USA),"
Data Entry Alphanumeric Split Screen - US,https://www.shl.com/products/product-catalog/view/data-entry-alphanumeric-split-screen-us/,Yes,No,Knowledge & Skills,['K'],"The Data Entry Alphanumeric Split Screen - US assessment measures speed and accuracy at typing text and numbers into forms. The information includes business-related text and numbers such as invoice number, address, product number and amount. The test assesses for speed and accuracy.",5,"Professional Individual Contributor, Mid-Professional, Front Line Manager, Entry-Level,","English (USA),"
Data Entry Numeric Split Screen - US,https://www.shl.com/products/product-catalog/view/data-entry-numeric-split-screen-us/,Yes,No,Knowledge & Skills,['K'],"The Data Entry Numeric Split Screen - US assessment measures speed and accuracy at typing numbers into forms. The information candidates must enter includes business-related records including number fields such as customer number, order number, item number and quantity. Candidates may use either the keyboard's numeric keypad or the number keys at the top of the keyboard.",5,"Mid-Professional, Professional Individual Contributor, Entry-Level, Front Line Manager,","English (USA),"
Data Entry Ten Key Split Screen,https://www.shl.com/products/product-catalog/view/data-entry-ten-key-split-screen/,Yes,No,Knowledge & Skills,['K'],Data Entry Ten Key Split Screen assessment measures ability to enter numbers using a numeric keypad. The test measures accuracy and speed.,3,"Entry-Level, Front Line Manager, Mid-Professional, Professional Individual Contributor,","English (USA),"
Data Science (New),https://www.shl.com/products/product-catalog/view/data-science-new/,Yes,No,Knowledge & Skills,['K'],"Multi-choice test that measures the conceptual knowledge on how to use machine learning to analyze data, extract information, draw conclusions and make statistically-driven decisions.",14,"Mid-Professional, Professional Individual Contributor,","English (USA),"
Data Warehousing Concepts,https://www.shl.com/products/product-catalog/view/data-warehousing-concepts/,Yes,Yes,Knowledge & Skills,['K'],"The Data Warehousing Concepts test measures knowledge of Data Warehousing. Designed for experienced users, this test covers the following topics: Big Data and Data Warehouse Appliance, Business Considerations, Data Transformation, Data Warehousing and Data Marts, Design, Dimensional Data Model, On Line Analytical Processing (OLAP), Querying and Reporting/Data Extraction.",25,"Mid-Professional, Professional Individual Contributor,","English (USA),"
Dependability and Safety Instrument (DSI),https://www.shl.com/products/product-catalog/view/dependability-and-safety-instrument-dsi/,Yes,No,Personality & Behavior,['P'],"The DSI is a short pre-screening tool for many key entry-level roles. It is designed to identify potential employees who will have good dependability and reliability, and who are less likely to engage in counter-productive work behaviors.

Note: Turkish [end June 2012] and Romanian [end May 2013] are on limited beta relase",10,"Entry-Level,","Portuguese (Brazil), Chinese Traditional, Danish, Dutch, Finnish, French, German, Icelandic, Chinese Simplified, English International, Italian, Latin American Spanish, Polish, Swedish, English (USA), Norwegian, Russian,"
Dermatology (New),https://www.shl.com/products/product-catalog/view/dermatology-new/,Yes,No,Knowledge & Skills,['K'],"Multi-choice test that measures the knowledge of various diseases related to skin, their symptoms, the drugs used to treat them, and different terminologies used in the field of dermatology.",3,"Graduate, Mid-Professional, Professional Individual Contributor,","English (USA),"
Desktop Support (New),https://www.shl.com/products/product-catalog/view/desktop-support-new/,Yes,No,Knowledge & Skills,['K'],"Multi-choice test that measures the knowledge of networking, peripheral components, operating systems, troubleshooting and providing technical support.",8,"Graduate, Mid-Professional, Professional Individual Contributor,","English (USA),"
Digital Advertising (New),https://www.shl.com/products/product-catalog/view/digital-advertising-new/,Yes,No,Knowledge & Skills,['K'],Multi-choice test that measures the candidate's knowledge about use of AdWords and tools to analyze ad performance on digital media.,7,"Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor,","English (USA),"
Digital Readiness Development Report - IC,https://www.shl.com/products/product-catalog/view/digital-readiness-development-report/,Yes,No,Personality & Behavior,['P'],"This participant-oriented report is aimed at individual contributors (non-managerial) and summarizes the way that they have described their typical style at work and is interpreted against SHL's Digital Readiness Framework. The report describes the way the person typically behaves, rather than their actual skill levels. It gives an indication of the individual's likely strengths in each area and makes suggestions for development activities, based upon the information gained from the
questionnai",,"Director, Entry-Level, Executive, Front Line Manager, General Population, Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor,",
Digital Readiness Development Report - Manager,https://www.shl.com/products/product-catalog/view/digital-readiness-development-report-manager/,Yes,No,Personality & Behavior,['P'],"This participant-oriented report is aimed employees with management responsibilities and summarizes the way that they have described their typical style at work and is interpreted against SHL's Digital Readiness Framework. The report describes the way the person typically behaves, rather than their actual skill levels. It gives an indication of the individual's likely strengths in each area and makes suggestions for development activities, based upon the information gained from the
questionnair",,"Entry-Level, Executive, Front Line Manager, General Population, Graduate, Manager, Mid-Professional, Supervisor, Director,",
